measure,pair,n_all,corr_all,n_either_nonzero,corr_either_nonzero,n_either_nonzero_p95,corr_either_nonzero_p95,n_both_nonzero,corr_both_nonzero,n_both_nonzero_p95,corr_both_nonzero_p95
task_count,claude_ai_2025_09 vs claude_ai_2026_01,18428,0.9196821630397689,3429,0.9178625911468061,3220,0.7683268315150327,2355,0.9169967441749207,2214,0.7731738973764652
task_count,claude_ai_2025_09 vs claude_ai_2026_03,18428,0.9186967689670262,3510,0.9167462776237189,3295,0.7600191420627203,2364,0.9156148918592161,2218,0.7507567893607674
task_count,1p_api_2025_09 vs 1p_api_2026_01,18428,0.9255107819685028,2623,0.9244057535811533,2458,0.6931993245347888,1682,0.9264680706772306,1578,0.6885225539516212
task_count,1p_api_2025_09 vs 1p_api_2026_03,18428,0.8496837260194227,2649,0.8473219924701529,2482,0.6845483477692773,1702,0.8475350154374944,1593,0.661728304402518
task_count,claude_ai_2026_01 vs claude_ai_2026_03,18428,0.9772300858762187,3540,0.9771845811746559,3342,0.9420994768239712,2886,0.9771793862036419,2723,0.9403342526302155
task_count,1p_api_2026_01 vs 1p_api_2026_03,18428,0.9661916877671063,2618,0.965699814396534,2477,0.8401023304698523,1930,0.965774069574904,1822,0.917120013055654
automation_count,claude_ai_2025_09 vs claude_ai_2026_01,18428,0.9222243260588583,1972,0.9206425911660359,1848,0.7727579679404305,1320,0.9199599380057638,1242,0.7427205896214198
automation_count,claude_ai_2025_09 vs claude_ai_2026_03,18428,0.9316929848830003,2055,0.9298834297220285,1924,0.7515358170213386,1348,0.92901799744755,1264,0.7296009433412541
automation_count,1p_api_2025_09 vs 1p_api_2026_01,18428,0.94176919409513,2237,0.9408734389556196,2096,0.6598843418740415,1404,0.9420686504616765,1315,0.723974513164753
automation_count,1p_api_2025_09 vs 1p_api_2026_03,18428,0.8895654488451235,2217,0.8876472140010678,2079,0.6440624849622886,1401,0.8878252516842088,1312,0.7116319566220644
automation_count,claude_ai_2026_01 vs claude_ai_2026_03,18428,0.9777616021173486,1983,0.977863374339021,1868,0.8868792996901761,1536,0.9778895572119538,1450,0.8874864910456501
automation_count,1p_api_2026_01 vs 1p_api_2026_03,18428,0.9710515050073811,2186,0.9705967894963787,2063,0.8411674340907234,1601,0.9706858869218499,1510,0.9185121781338808
augmentation_count,claude_ai_2025_09 vs claude_ai_2026_01,18428,0.8918947016311309,2046,0.885280489456148,1922,0.7397987719172935,1329,0.8819379606297527,1246,0.7750810104781242
augmentation_count,claude_ai_2025_09 vs claude_ai_2026_03,18428,0.8884172082778836,2105,0.8809576170104217,1971,0.7268519987626259,1331,0.8765436410744699,1248,0.7566631129791516
augmentation_count,1p_api_2025_09 vs 1p_api_2026_01,18428,0.9279350261184129,662,0.9238823429615376,620,0.660826834358024,380,0.9306886070710001,354,0.7087303807225356
augmentation_count,1p_api_2025_09 vs 1p_api_2026_03,18428,0.8562771354003337,729,0.8476978622333576,680,0.5715214263408352,387,0.8469294269943825,360,0.6103684679623288
augmentation_count,claude_ai_2026_01 vs claude_ai_2026_03,18428,0.9784131079519615,2087,0.9776580001916211,1968,0.9509189073515224,1704,0.9775144067695654,1607,0.951850781941152
augmentation_count,1p_api_2026_01 vs 1p_api_2026_03,18428,0.9557997983032288,706,0.9538069707934972,662,0.7334655184142576,442,0.9541578353765177,413,0.7745645470259466
